tweet_id,class,error[Truncated axis],error[Dual axis],error[Value as area/volume],error[Inverted axis],error[Uneven binning],error[Unclear encoding],error[Inappropriate encoding],error[Cherry-picking],error[Setting an arbitrary threshold],error[Causal inference],error[Issues with data validity],error[Failure to account for statistical nuance],error[Misrepresentation of scientific studies],error[Incorrect reading of chart]
1220060594868555778,positive,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1234688701114060800,positive,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1236331391643779074,positive,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1238453491917631489,positive,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1239398342599364609,positive,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1239776019856461824,positive,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1239823808745349120,positive,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1240239038029799427,positive,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1240714783512350721,positive,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1240964721597087745,positive,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1242484117373100037,positive,False,False,False,False,True,False,False,False,False,False,True,False,False,True
1242684454813831168,positive,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1243022817261568000,positive,False,False,False,False,False,False,False,True,False,True,False,False,False,False
1244181640114581504,positive,False,False,False,False,False,False,False,True,False,True,False,False,False,False
1245389809440428033,positive,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1251069853408153600,positive,False,False,False,False,False,False,False,True,False,True,False,False,False,False
1251149393635377152,positive,False,False,True,True,False,False,False,False,False,False,False,False,False,False
1253659130956562432,positive,False,False,False,False,False,False,False,True,False,True,False,False,False,False
1258447239774642176,positive,False,False,False,False,False,False,False,False,False,True,False,False,True,False
1259409735360679936,positive,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1259765651784314881,positive,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1260759421048643584,positive,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1260947701983776768,positive,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1260979813847711745,positive,False,True,False,False,False,False,False,False,False,False,False,False,False,False
1261043958391558145,positive,False,True,False,False,False,False,False,False,False,False,False,False,False,False
1261072881343057920,positive,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1261276479851200514,positive,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1261344189175955459,positive,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1261385371155226624,positive,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1261388871633231872,positive,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1261403781985497090,positive,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1261442909951406080,positive,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1261519003022958592,positive,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1261548536103084037,positive,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1261749263018659845,positive,False,False,False,False,False,False,False,False,True,False,True,False,False,False
1261801695132057600,positive,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1261926324396077056,positive,False,False,False,False,False,False,False,True,False,True,False,False,True,False
1262005983141695489,positive,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1262088252330213377,positive,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1262138687443202048,positive,False,True,False,False,False,False,False,False,False,False,False,False,False,False
1262470607960186886,positive,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1262471360514752514,positive,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1262510179167408130,positive,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1262517247609901058,positive,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1262586274818461698,positive,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1262680890267836417,positive,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1262784210496036865,positive,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1262786514314055680,positive,False,False,False,True,False,False,False,False,False,False,False,False,False,False
1263011902424219648,positive,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1263020116616179712,positive,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1263065572545376258,positive,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1263660512102973441,positive,False,False,False,False,False,True,False,False,False,False,False,False,True,False
1263662455219240962,positive,False,False,False,False,False,True,False,False,False,False,False,False,True,False
1263737727612223488,positive,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1263747011045502982,positive,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1263812474291224576,positive,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1263819827262689281,positive,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1263847236590583811,positive,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1263848466595237888,positive,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1263849011791958016,positive,False,True,False,False,False,False,False,False,False,False,False,False,False,False
1263891950131961858,positive,False,True,False,False,False,False,False,False,False,False,False,False,False,False
1263893857080508427,positive,False,True,False,False,False,False,False,False,False,False,False,False,False,False
1263979598028644354,positive,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1264020013825978369,positive,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1264078143041736705,positive,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1264168867569577984,positive,False,False,False,False,False,False,False,True,False,True,False,False,False,False
